Paired,TubeID,Medium,Date,AnalysisDate,DaysSince,Time,Monkey,Sex,Age,Group,Observer,AnalysisMethod,Total ml,FecesWeight,Diversity,TotalPara,PFG,FilaPFG,StrongPFG,Total3,Total2,Total1,TotalR,AvRating,UID_egg_total,UIDegg3,UIDegg2,UIDegg1,UID_larvae_total,UIDlarv3,UIDlarv2,UIDlarv1,UID_worm_total,UIDWorm3,UIDWorm2,UIDWorm1,FilaPres,FilaTotal,Fila3,Fila2,Fila1,StrongPres,StrongTotal,Strong3,Strong2,Strong1,StlvTotal,Stlv3,Stlv2,Stlv1,CeleTotal,Cele3,Cele2,Cele1,Prosthenorchis,Necator americanus (55-77µm),Hookworm egg,HookwormTotal,HW3,HW2,HW1
14,PA-711,Ethanol,11-Aug-21,26-Apr-22,258,11:30,MadMadamMim,Hembra,AF,AD,JKH/JC/MCH,sedimentation,7.5,3.08,6,77,25,21,2,0,0,0,0,,2,,,,0,,,,2,,,,1,66,,,,1,6,,,,0,,,,,,,,0,1,0,0,,,
15,PA-718,Formalin,12-Aug-21,2-Aug-22,355,8:40,Sully,Hembra,LJM,RM,JKH,sedimentation,11.5,2.45,7,27,11,7,2,22,3,2,27,2.74,0,0,0,0,4,3,1,0,1,1,0,0,1,17,14,1,2,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,PA-719,Ethanol,12-Aug-21,4-Aug-22,357,8:40,Sully,Hembra,LJM,RM,JKH,sedimentation,7,1.71,2,44,26,21,5,9,18,17,44,1.82,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1,18,17,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PA-721,Formalin,18-Aug-21,16-Aug-22,363,7:33,Leviosa,Hembra,LJF,BC,JKH,sedimentation,10.5,1.41,6,212,150,145,1,198,14,0,212,2.93,1,1,0,0,2,2,0,0,2,2,0,0,1,205,191,14,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,PA-722,Ethanol,18-Aug-21,15-Aug-22,362,7:33,Leviosa,Hembra,LJF,BC,JC,sedimentation,7,2.07,1,112,54,54,0,58,35,19,112,2.35,0,0,0,0,0,0,0,0,0,0,0,0,1,112,58,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PA-727,Formalin,18-Aug-21,7-Jun-22,293,9:30,Winky,Hembra,AF,BC,JKH,sedimentation,11,2.66,7,252,95,65,28,220,23,9,252,2.84,2,1,1,0,1,0,1,0,1,1,0,0,1,173,143,21,9,1,74,74,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,
17,PA-728,Ethanol,18-Aug-21,9-Jun-22,295,9:30,Winky,Hembra,AF,BC,JKH,sedimentation,6.5,1.48,4,42,28,11,14,24,13,5,42,2.45,0,0,0,0,3,3,0,0,0,0,0,0,1,16,1,10,5,1,21,20,1,0,2,0,2,0,0,0,0,0,0,0,0,0,,,
18,PA-743,Formalin,19-Aug-21,17-May-22,271,11:11,Oregano,Hembra,AF,LV,JKH/JC,sedimentation,11,5.19,4,378,73,72,1,6,0,0,6,3,0,,,,1,1,0,0,1,1,0,0,1,372,,,,1,4,4,0,0,0,,,,0,0,0,0,0,0,0,0,,,
18,PA-744,Ethanol,19-Aug-21,18-May-22,272,11:11,Oregano,Hembra,AF,LV,JC/JKH,sedimentation,7,2.01,4,183,91,83,2,36,119,28,183,2.04,0,0,0,0,0,0,0,0,0,0,0,0,1,167,21,118,28,1,4,4,0,0,8,7,1,0,4,4,0,0,0,0,0,0,,,
19,PA-747,Formalin,26-Aug-21,7-Oct-22,407,8:30,Abu,Hembra,AF,AD,JKH,sedimentation,10.5,1.45,6,50,34,29,0,49,1,0,50,2.98,1,1,0,0,7,6,1,0,0,0,0,0,1,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,PA-748,Ethanol,26-Aug-21,7-Oct-22,407,8:30,Abu,Hembra,AF,AD,JKH,sedimentation,7,1.72,4,9,5,3,1,4,5,0,9,2.44,1,1,0,0,0,0,0,0,0,0,0,0,1,6,1,5,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,PA-753,Formalin,26-Aug-21,14-Oct-22,414,11:19,Wall-E,Macho,SAM,AD,JKH,sedimentation,10.5,1.4,9,100,71,60,4,91,2,7,100,2.84,0,0,0,0,6,6,0,0,0,0,0,0,1,84,75,2,7,1,5,5,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0
20,PA-754,Ethanol,26-Aug-21,14-Oct-22,414,11:19,Wall-E,Macho,SAM,AD,JKH,sedimentation,7,1.5,3,44,29,27,1,3,25,16,44,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,25,16,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,PA-760,Formalin,30-Aug-21,24-May-22,267,8:15,Quidditch,Hembra,AF,GN,JKH,sedimentation,11.5,3.02,4,681,225,224,0,679,2,0,681,3,0,0,0,0,5,5,0,0,0,0,0,0,1,676,674,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
21,PA-761,Ethanol,30-Aug-21,26-May-22,269,8:15,Quidditch,Hembra,AF,GN,JKH,sedimentation,7.5,2.11,4,400,190,182,1,10,234,156,400,1.64,0,0,0,0,0,0,0,0,0,0,0,0,1,384,5,223,156,1,2,2,0,0,10,1,9,0,4,2,2,0,0,0,0,0,,,
